date,rainfall,average flow,max flow,min flow,fe flow
1/6/2021,0.33,25.35,41.47,18.85,25.82
1/6/2022,3.95,51.32,64.54,23.88,46.68
1/6/2023,0.3,14.38,22.13,4.6,10.56
1/6/2024,0.38,15.36,28.99,5.31,14.29
1/6/2025,,,,,
1/7/2015,0.01,14.7,20.23,9.78,13.39
1/7/2016,0,12.01,14.02,9.68,11.17
1/7/2017,0,12.51,17.05,8.75,10.91
1/7/2018,0.49,14.46,27.86,6.78,13.7
1/7/2019,0.01,13.49,18.6,4.57,12.65
1/7/2020,0.78,28.96,43.43,12.47,27.85
1/7/2021,0,18.07,25.58,10.34,17.98
1/7/2022,0.89,41.71,59.1,26.79,43.36
1/7/2023,0.45,18.05,26.2,11.12,12.73
1/7/2024,0,13.12,19.36,6.89,11.88
1/7/2025,,,,,
1/8/2015,0,13.12,20.09,8.13,11.36
1/8/2016,0,11.6,14.03,6.72,10.49
1/8/2017,0.63,15.41,33.15,8.36,13.68
1/8/2018,0.08,14.96,27.26,2.41,13.77
1/8/2019,0.18,14.2,26.62,5.26,12.56
1/8/2020,0,19.22,28.56,10.7,17.21
1/8/2021,0.23,15.9,19.2,10.41,15.15
1/8/2022,0,23.68,28.98,16.18,23.37
1/8/2023,0.35,19,32.25,8.89,14.63
1/8/2024,1.18,17.1,39.58,6.88,15.37
1/8/2025,,,,,
1/9/2015,0,12.74,19.52,6.74,11.15
1/9/2016,0,11.29,15.11,6.03,10.44
1/9/2017,0.04,13.16,15.88,9.73,11.28
1/9/2018,0.05,14.81,20.01,9.21,13.24
1/9/2019,0.41,15.33,26.85,9.21,13.06
1/9/2020,0.04,16.68,21.42,10.84,14.4
1/9/2021,0.01,14.49,26.6,8.98,13.8
1/9/2022,0,20.03,27.06,9.57,19.05
1/9/2023,0.33,17.65,30.36,2.37,14.62
1/9/2024,0.6,21.04,50.44,4.82,19.42
1/9/2025,,,,,
10/1/2015,0,8.56,9.8,7.51,7.4
10/1/2016,0.16,8.63,12.08,4.53,7.87
10/1/2017,0.07,10.09,12.12,4.18,8.57
10/1/2018,0.11,10.36,13.84,0.9,9.66
10/1/2019,0,10.72,16.82,6.86,9.65
10/1/2020,0,8.77,11.19,5.1,8.06
10/1/2021,0,9.34,11.29,6.81,8.56
10/1/2022,0,8.94,20.45,5.32,7.41
10/1/2023,0,9.86,12.27,2.87,9.08
10/1/2024,0,9.8,15.15,3.5,8.15
10/10/2015,0.89,11.41,35.24,7.35,10.37
10/10/2016,0,8.97,11.16,6.26,8.19
10/10/2017,0,9.72,11.41,7.26,8.6
10/10/2018,0,8.84,11.09,6.26,8.25
10/10/2019,0,7.91,21.76,1.59,7.28
10/10/2020,1,13.76,34.1,4.14,12.85
10/10/2021,0.07,9.49,12.37,3.99,9.02
10/10/2022,0,9.94,23.01,2.88,9.52
10/10/2023,0.8,12.57,30.09,2.04,11.92
10/10/2024,,,,,
10/11/2015,0,9.13,12.92,7.34,8.32
10/11/2016,0,10.52,43.04,5.67,9.36
10/11/2017,0,9.4,11.26,5.35,8.65
10/11/2018,0.01,9.04,14.55,4.41,8.44
10/11/2019,0,8.16,16.06,4.99,7.5
